Player,Team,Season,SP,MP,MS,PTS,PTS/S,K,K/S,E,TA,PCT,A,A/S,SA,SA/S,SE,DIG,DIG/S,RE,TA,Rec%,RE/S,BS,BA,BLK,BLK/S,BE,BHE
Lauren Stivrins,Nebraska,2020,56,16,16,217,3.88,181,3.23,33,314,0.471,3,0.05,2,0.04,10,14,0.25,1,7,0.857,0.02,7,54,61,1.09,10,1
Dana Rettke,Wisconsin,2020,36,11,11,152.5,4.24,110,3.06,17,212,0.439,3,0.08,5,0.14,18,16,0.44,0,10,1,0,15,45,60,1.67,4,0
Jess Robinson,Michigan,2020,45,11,11,101,2.24,86,1.91,21,181,0.359,1,0.02,0,0,1,2,0.04,2,6,0.667,0.04,3,24,27,0.6,8,0
Tina Grkovic,Rutgers,2020,65,18,18,147,2.26,112,1.72,48,276,0.232,5,0.08,8,0.12,14,19,0.29,1,12,0.917,0.02,4,46,50,0.77,0,1
Kaitlyn Hord,Penn State,2020,53,14,14,163.5,3.08,125,2.36,18,265,0.404,6,0.11,0,0,0,4,0.08,1,19,0.947,0.02,6,65,71,1.34,1,0
Hannah Clayton,Iowa,2020,55,0,0,143.5,0,113,2.05,26,237,0.367,3,0.05,0,0,0,11,0.2,0,0,0,0,0,0,53,0.96,0,0
Regan Pittman,Minnesota,2020,57,15,15,151.5,2.66,86,1.51,27,203,0.291,16,0.28,18,0.32,11,46,0.81,1,6,0.833,0.02,13,69,82,1.44,2,2
Rebecca Poljan,Michigan State,2020,34,11,11,56.5,1.66,42,1.24,14,113,0.248,1,0.03,4,0.12,5,9,0.26,0,3,1,0,0,21,21,0.62,2,1
Leyla Blackwell,Indiana,2020,65,18,18,132,2.03,95,1.46,31,224,0.286,0,0,0,0,0,11,0.17,0,2,1,0,13,48,61,0.94,6,1
Jada Gardner,Maryland,2020,58,15,10,146,2.52,115,1.98,56,262,0.225,5,0.09,8,0.14,9,63,1.09,0,8,1,0,1,44,45,0.78,2,1
Rylee Rader,Ohio State,2020,50,0,0,176,0,143,2.38,19,294,0.422,4,0.07,0,0,0,17,0.28,0,0,0,0,0,62,64,1.07,0,0
Taylor Trammell,Purdue,2020,66,18,18,145.5,2.2,92,1.39,17,189,0.397,2,0.03,0,0,0,14,0.21,1,2,0.5,0.02,5,97,102,1.55,10,0
Kennedy Collins,Illinois,2020,63,16,16,145,2.3,117,1.86,43,262,0.282,3,0.05,0,0,3,17,0.27,1,4,0.75,0.02,5,46,51,0.81,7,0
