Date,Opponent,SP,K,E,TA,PCT,AST,SA,SE,RE,DIG,BS,BA,BE,TB,BHE
2021-01-22,Indiana,3,9,3,14,0.429,1,0,1,0,2,0,2,0,2,0
2021-01-23,Indiana,3,7,1,14,0.429,0,0,1,0,1,1,5,1,6,1
2021-02-05,Maryland,4,18,1,20,0.85,0,0,0,0,1,0,1,1,1,0
2021-02-06,Maryland,3,8,4,20,0.2,0,0,0,0,0,1,1,1,2,0
2021-02-12,Rutgers,3,11,1,18,0.556,0,0,0,0,1,0,1,1,1,0
2021-02-13,Rutgers,4,15,1,24,0.583,0,0,0,0,1,2,9,0,11,0
2021-02-19,Minnesota,4,16,5,29,0.379,0,0,0,0,0,1,1,0,2,0
2021-02-21,Minnesota,3,8,0,20,0.4,0,0,0,0,2,0,1,0,1,0
2021-03-05,Illinois,3,10,2,17,0.471,1,0,0,0,0,1,3,0,4,0
2021-03-06,Illinois,3,11,1,16,0.625,0,0,0,0,2,0,3,2,3,0
2021-03-12,Ohio St.,5,18,4,33,0.424,0,0,0,1,0,0,6,0,6,0
2021-03-13,Ohio St.,5,16,4,30,0.4,0,0,0,0,0,0,5,3,5,0
2021-03-17,Iowa,3,8,0,13,0.615,0,1,4,0,2,0,3,0,3,0
2021-03-20,Iowa,3,6,3,13,0.231,1,1,4,0,0,0,2,0,2,0
2021-03-25,Michigan,4,10,3,19,0.368,0,0,0,0,1,0,5,1,5,0
2021-03-26,Michigan,3,10,0,14,0.714,0,0,0,0,1,1,6,0,7,0
