Player,Game,PCT
Lauren Stivrins,1,0.429
Lauren Stivrins,2,0.429
Lauren Stivrins,3,0.85
Lauren Stivrins,4,0.2
Lauren Stivrins,5,0.556
Lauren Stivrins,6,0.583
Lauren Stivrins,7,0.379
Lauren Stivrins,8,0.4
Lauren Stivrins,9,0.471
Lauren Stivrins,10,0.625
Lauren Stivrins,11,0.424
Lauren Stivrins,12,0.4
Lauren Stivrins,13,0.615
Lauren Stivrins,14,0.231
Lauren Stivrins,15,0.368
Lauren Stivrins,16,0.714
Dana Rettke,1,0.733
Dana Rettke,2,0.414
Dana Rettke,3,0.565
Dana Rettke,4,0.292
Dana Rettke,5,0.545
Dana Rettke,6,0.529
Dana Rettke,7,0.188
Dana Rettke,8,0.438
Dana Rettke,9,0.615
Dana Rettke,10,0.308
Dana Rettke,11,0.371
Kaitlyn Hord,1,2.61
Kaitlyn Hord,2,0.556
Kaitlyn Hord,3,0.417
Kaitlyn Hord,4,0.31
Kaitlyn Hord,5,0.308
Kaitlyn Hord,6,0.571
Kaitlyn Hord,7,0.6
Kaitlyn Hord,8,0.4
Kaitlyn Hord,9,0.333
Kaitlyn Hord,10,0.286
Kaitlyn Hord,11,0.5
Kaitlyn Hord,12,0.533
Kaitlyn Hord,13,0.583
Kaitlyn Hord,14,0.462
