Game,Date,Team,HittingPCT,
1,2/26/21,Penn State,0.25,
2,2/26/21,Penn State,0.045,
3,2/27/21,Penn State,0.192,
4,2/27/21,Penn State,0.286,
5,2/28/21,Penn State,0.192,
6,2/28/21,Penn State,0.05,
7,3/11/21,Penn State,0.095,
8,3/11/21,Penn State,0.175,
9,3/12/21,Penn State,0.16,
10,3/13/21,Penn State,0.045,
11,3/13/21,Penn State,0,
12,3/14/21,Penn State,0.136,
13,3/26/21,Penn State,0.167,
14,3/27/21,Penn State,0.13,
15,3/27/21,Penn State,0.059,
16,3/28/21,Penn State,0.353,
17,4/3/21,Penn State,0.091,
18,4/3/21,Penn State,0.286,
19,4/4/21,Penn State,0.118,
20,4/9/21,Penn State,0.393,
21,4/9/21,Penn State,0.192,
22,4/10/21,Penn State,0.2,
23,4/10/21,Penn State,0.261,
1,2/26/21,Nebraska,0.125,
2,2/26/21,Nebraska,0.182,
3,2/27/21,Nebraska,0.313,
4,2/27/21,Nebraska,0.161,
5,2/28/21,Nebraska,0.087,
6,2/28/21,Nebraska,0.185,
7,3/11/21,Nebraska,0,
8,3/11/21,Nebraska,0.043,
9,3/12/21,Nebraska,0.241,
10,3/13/21,Nebraska,0.429,
11,3/13/21,Nebraska,0.167,
12,3/14/21,Nebraska,0.393,
13,3/26/21,Nebraska,0.409,
14,3/27/21,Nebraska,0.357,
15,3/27/21,Nebraska,0.5,
16,3/28/21,Nebraska,0.278,
17,4/2/21,Nebraska,0.448,
18,4/3/21,Nebraska,0.346,
19,4/3/21,Nebraska,0.333,
20,4/4/21,Nebraska,0.091,
21,4/9/21,Nebraska,0.16,
22,4/10/21,Nebraska,0.345,
23,4/10/21,Nebraska,0.346,
24,4/11/21,Nebraska,0.16,
25,4/16/21,Nebraska,0.294,
26,4/17/21,Nebraska,0,
27,4/17/21,Nebraska,0.1,
28,4/17/21,Nebraska,0.367,
1,2/26/21,Rutgers,0.167,
2,2/26/21,Rutgers,0.143,
3,2/27/21,Rutgers,0.176,
4,2/27/21,Rutgers,0.263,
5,2/28/21,Rutgers,0.353,
6,2/28/21,Rutgers,0.321,
7,3/11/21,Rutgers,0.231,
8,3/11/21,Rutgers,0.125,
9,3/12/21,Rutgers,0.333,
10,3/13/21,Rutgers,0.2,
11,3/13/21,Rutgers,0.308,
12,3/13/21,Rutgers,0.045,
13,3/26/21,Rutgers,0.167,
14,3/27/21,Rutgers,0.154,
15,3/27/21,Rutgers,0.233,
16,3/28/21,Rutgers,0.2,
17,4/2/21,Rutgers,0.273,
18,4/3/21,Rutgers,0.37,
19,4/3/21,Rutgers,0.227,
20,4/4/21,Rutgers,0.217,
21,4/9/21,Rutgers,0.259,
22,4/9/21,Rutgers,0.143,
23,4/10/21,Rutgers,0.222,
24,4/10/21,Rutgers,0.2,
25,4/16/21,Rutgers,0.158,
26,4/17/21,Rutgers,0.136,
27,4/17/21,Rutgers,0.208,
28,4/18/21,Rutgers,0.217,
1,2/26/21,Illinois,0.37,
2,2/26/21,Illinois,0.429,
3,2/27/21,Illinois,0.405,
4,2/27/21,Illinois,0.148,
5,2/28/21,Illinois,0.2,
6,2/28/21,Illinois,0.208,
7,3/11/21,Illinois,0.321,
8,3/11/21,Illinois,0.345,
9,3/12/21,Illinois,0.185,
10,3/13/21,Illinois,0.25,
11,3/13/21,Illinois,0.24,
12,3/24/21,Illinois,0.423,
13,3/26/21,Illinois,0.259,
14,3/27/21,Illinois,0.24,
15,3/27/21,Illinois,0.217,
16,3/28/21,Illinois,0.429,
17,4/2/21,Illinois,0.2,
18,4/3/21,Illinois,0.457,
19,4/3/21,Illinois,0.233,
20,4/4/21,Illinois,0.276,
21,4/9/21,Illinois,0.24,
22,4/10/21,Illinois,0.344,
23,4/10/21,Illinois,0.241,
24,4/11/21,Illinois,0.222,
25,4/16/21,Illinois,0.37,
26,4/17/21,Illinois,0.227,
27,4/17/21,Illinois,0.348,
28,4/18/21,Illinois,0.296,
1,2/26/21,Indiana,0.348,
2,2/26/21,Indiana,0.154,
3,2/27/21,Indiana,0.333,
4,2/27/21,Indiana,0.417,
5,2/28/21,Indiana,0.185,
6,2/28/21,Indiana,0.333,
7,3/11/21,Indiana,0.125,
8,3/11/21,Indiana,0.16,
9,3/12/21,Indiana,0.095,
10,3/13/21,Indiana,0.167,
11,3/13/21,Indiana,0.4,
12,3/13/21,Indiana,0.333,
13,3/26/21,Indiana,0.28,
14,3/27/21,Indiana,0.133,
15,3/27/21,Indiana,0.182,
16,3/28/21,Indiana,0.208,
17,4/2/21,Indiana,0.233,
18,4/3/21,Indiana,0.188,
19,4/3/21,Indiana,0.174,
20,4/4/21,Indiana,0.206,
21,4/9/21,Indiana,0.259,
22,4/9/21,Indiana,0.276,
23,4/10/21,Indiana,0.231,
24,4/11/21,Indiana,0.429,
25,4/16/21,Indiana,0.269,
26,4/17/21,Indiana,0.565,
27,4/17/21,Indiana,0.405,
28,4/17/21,Indiana,0.286,
1,2/26/21,Northwestern,0.28,
2,2/26/21,Northwestern,0.222,
3,2/27/21,Northwestern,0.476,
4,2/27/21,Northwestern,0.423,
5,2/28/21,Northwestern,0.174,
6,2/28/21,Northwestern,0.28,
7,3/11/21,Northwestern,0.429,
8,3/11/21,Northwestern,0.3,
9,3/12/21,Northwestern,0.15,
10,3/13/21,Northwestern,0.167,
11,3/13/21,Northwestern,0.429,
12,3/14/21,Northwestern,0.154,
13,3/26/21,Northwestern,0.333,
14,3/27/21,Northwestern,0.438,
15,3/27/21,Northwestern,0.25,
16,3/28/21,Northwestern,0.393,
17,4/2/21,Northwestern,0.37,
18,4/3/21,Northwestern,0.394,
19,4/3/21,Northwestern,0.31,
20,4/4/21,Northwestern,0.3,
21,4/9/21,Northwestern,0.167,
22,4/10/21,Northwestern,0.2,
23,4/11/21,Northwestern,0.2,
24,4/11/21,Northwestern,0.276,
25,4/16/21,Northwestern,0.276,
26,4/17/21,Northwestern,0.333,
27,4/17/21,Northwestern,0.303,
28,4/18/21,Northwestern,0.214,
1,2/26/21,Purdue,0.087,
2,2/26/21,Purdue,0.045,
3,2/27/21,Purdue,0.259,
4,2/27/21,Purdue,1.85,
5,2/28/21,Purdue,0.353,
6,2/28/21,Purdue,0.286,
7,3/11/21,Purdue,0.296,
