Game ,Date,Team,W/L,H,R,ER,SO,2B,3B,HR,HBP,IBB,W,L,SV,ERA
1,2/26/21,Nebraska,L,8,3,3,8,2,0,0,0,0,0,1,0,3.5
2,2/26/21,Nebraska,W,4,2,2,3,0,2,1,1,0,1,1,1,2
3,2/27/21,Nebraska,W,5,1,1,6,1,0,0,0,0,2,1,1,1
4,2/27/21,Nebraska,L,11,6,5,8,2,0,0,1,0,2,2,0,4.38
5,2/28/21,Nebraska,L,6,4,4,5,1,0,0,3,0,2,3,0,4
6,2/28/21,Nebraska,W,7,1,1,6,1,0,0,0,0,3,3,0,1
7,3/11/21,Nebraska,L,3,2,1,8,1,0,0,1,1,3,4,0,0.88
8,3/11/21,Nebraska,L,7,2,2,0,0,0,0,0,0,3,5,0,2.33
9,3/12/21,Nebraska,W,7,4,2,0,0,0,0,0,0,4,5,0,1.75
10,3/13/21,Nebraska,W,3,1,1,6,1,0,0,0,0,5,5,0,1
11,3/13/21,Nebraska,L,11,7,7,2,1,1,0,0,0,5,6,0,7
12,3/14/21,Nebraska,W,6,1,1,6,0,0,1,0,0,6,6,1,1
13,3/26/21,Nebraska,W,3,0,0,7,2,0,0,0,0,7,6,0,0
14,3/27/21,Nebraska,W,3,2,2,1,3,0,0,0,0,8,6,0,2
15,3/27/21,Nebraska,W,1,2,0,5,0,0,0,0,0,9,6,0,0
16,3/28/21,Nebraska,L,12,7,7,6,0,0,1,0,0,9,7,0,6.13
17,4/2/21,Nebraska,W,6,3,3,7,2,1,2,0,0,10,7,0,3.5
18,4/3/21,Nebraska,W,5,1,1,4,0,0,0,0,0,11,7,0,1
19,4/3/21,Nebraska,L,10,10,6,4,1,0,3,1,0,11,8,0,7
20,4/4/21,Nebraska,L,5,2,2,1,1,0,1,0,0,11,9,0,2.33
21,4/9/21,Nebraska,L,6,4,4,2,3,0,0,0,0,11,10,0,4
22,4/10/21,Nebraska,W,11,6,4,5,4,0,0,1,0,12,10,0,4
23,4/10/21,Nebraska,W,7,4,3,3,0,0,1,1,0,13,10,0,3
24,4/11/21,Nebraska,W,6,6,2,3,3,0,0,1,0,14,10,0,2
25,4/16/21,Nebraska,L,8,8,5,5,0,1,1,1,0,14,11,0,5.83
26,4/17/21,Nebraska,L,3,2,2,4,1,0,0,1,0,14,12,0,2.33
27,4/17/21,Nebraska,L,8,9,8,1,1,0,2,0,0,14,13,0,10.5
28,4/18/21,Nebraska,W,6,4,4,2,1,0,2,0,1,15,13,1,4
1,2/26/21,Penn State,L,2,4,1,5,0,1,0,0,0,0,1,0,1.17
2,2/26/21,Penn State,L,7,4,4,11,3,0,0,1,0,0,2,0,4
3,2/27/21,Penn State,L,7,3,1,1,2,1,0,0,0,0,3,0,1
4,2/27/21,Penn State,L,5,6,3,8,0,1,1,0,2,0,4,0,3.32
5,2/28/21,Penn State,L,4,8,8,7,0,0,0,3,0,0,5,0,8
6,2/28/21,Penn State,L,7,5,2,2,3,0,0,0,0,0,6,0,2.33
7,3/11/21,Penn State,L,9,5,2,4,2,0,0,1,0,0,7,0,2
8,3/11/21,Penn State,L,8,6,2,11,0,1,0,1,0,0,8,0,1.24
9,3/12/21,Penn State,L,6,2,1,3,1,0,0,0,0,0,9,0,0.88
10,3/13/21,Penn State,L,6,1,0,4,1,1,0,0,0,0,10,0,0
11,3/13/21,Penn State,L,6,2,2,7,1,0,0,1,0,0,11,0,2
12,3/14/21,Penn State,L,11,8,3,2,2,1,0,2,0,0,12,0,3.71
13,3/26/21,Penn State,L,9,9,8,4,1,2,3,1,0,0,13,0,14
14,3/27/21,Penn State,L,10,8,8,1,2,1,2,1,0,0,14,0,9.33
15,3/27/21,Penn State,L,11,10,8,0,3,0,0,1,0,0,15,0,14
16,3/28/21,Penn State,W,10,5,4,8,3,0,0,2,0,1,15,0,3.5
17,4/3/21,Penn State,L,6,2,2,5,1,0,1,0,0,1,16,0,2
18,4/3/21,Penn State,L,12,9,9,3,1,0,3,1,0,1,17,0,9
19,4/4/21,Penn State,L,12,9,8,3,1,1,2,0,0,1,18,0,11.2
20,4/9/21,Penn State,W,7,3,3,4,2,0,0,0,0,2,18,0,3
21,4/9/21,Penn State,L,3,3,3,8,1,0,1,1,0,2,19,0,3
22,4/10/21,Penn State,W,6,2,1,3,2,0,0,1,0,3,19,0,1
23,4/10/21,Penn State,W,5,3,3,3,2,0,0,0,0,4,19,0,3
1,2/26/21,Wisconsin,W,6,2,2,7,1,0,0,1,0,1,0,1,2
2,2/26/21,Wisconsin,W,1,0,0,4,0,1,0,0,0,2,0,0,0
3,2/27/21,Wisconsin,L,7,5,3,4,2,0,0,0,0,2,1,0,3
4,2/27/21,Wisconsin,L,10,9,9,4,2,0,1,0,0,2,2,0,10.5
